City,Population,numOfNotableResidents,totalPageViews
Ridgeway,315,1,33,33
Brighton,652,4,173,68
Donahue,346,1,25,25
Marion,34768,21,104817,78429
Centerville,5528,18,3809,1024
Ottumwa,25023,28,1033691,881484
Norway,545,3,1755,960
Ossian,845,2,69,45
Forest City,4151,6,18686,18098
Le Mars,9826,23,49358,35891
Waverly,9874,4,8168,7590
Manning,1500,3,164,64
Fayette,1338,1,265,265
Melrose,112,1,155,155
Batavia,499,1,0,0
Red Oak,5742,24,46815,36711
Lineville,217,1,34,34
Runnells,507,1,49,49
Walnut,785,1,26,26
Long Grove,808,2,63,49
New Hampton,3571,9,8947,4804
Onawa,2998,5,332,146
Lisbon,2152,3,803610,729283
Camanche,4448,2,257308,257290
St. Paul,129,1,44,44
St. Ansgar,110735,2,239,185
St. Charles,653,1,17170,17170
Rockwell City,1709,2,1202,1144
Cascade,2159,8,9538,6292
Ackley,1589,1,36,36
Charles City,7652,15,39367,32508
Columbus City,391,1,49,49
Estherville,6360,6,127898,118555
West Bend,785,1,90,90
Fairfield,9464,35,182233,110657
Cedar Falls,39260,45,259702,82054
Eldora,2732,4,1799,1207
Albia,3766,9,15531,13659
Roland,1284,1,223,223
Altoona,14541,7,21334,17747
Riceville,785,1,44,44
Lansing,999,3,2223,1672
Alden,787,2,2573,2366
Oelwein,6415,8,13806,7893
New London,1897,2,86,50
Adel,3682,7,66451,50417
Gowrie,1037,5,1173573,1172457
Clarinda,5572,8,69375,43577
Newton,15254,15,52100,35206
Leland,289,1,18098,18098
Glenwood,5269,8,17858,9753
Shenandoah,5150,9,12200,10644
Toledo,2341,8,28621,28109
Mount Ayr,1691,2,5960,5875
West Des Moines,56609,17,113848,49422
Marengo,2528,11,21158,18803
Missouri Valley,2838,1,224,224
Elkader,1273,7,1557,1014
North Washington,117,1,26,26
George,1080,1,189,189
Denison,8298,11,47687,25150
Leighton,162,1,13,13
Vinton,5257,11,2753,1573
Spirit Lake,4840,2,531,531
Fairbank,1113,1,1014,1014
Stuart,1648,4,1360,810
Story City,3431,5,5985,5735
Carroll,10103,8,21338,17884
Brooklyn,1468,4,1330,1287
Morning Sun,836,2,3842,3392
Mapleton,1224,5,844,532
Corydon,1585,3,284,156
Atlantic,7112,12,10538,6497
Coralville,18907,5,44019,38960
Coon Rapids,1305,4,427,295
Boyden,707,3,220,83
Marcus,1117,4,374,230
Wesley,390,1,68,68
Sumner,2028,4,124,77
Norwalk,8945,5,44866,43843
Iowa City,67862,67,573842,176690
Grandview,556,1,197,197
DeWitt,5322,2,655,543
Washington,7266,11,1100,281
Belmond,2376,3,1530,1416
Richland,584,1,173,173
Monticello,3796,17,1406,709
Sigourney,2059,8,836,682
Knoxville,7313,13,2524,1317
Cresco,3868,12,46465,39032
Perry,8122,6,1466,494
Creston,7834,17,63114,29282
Chariton,4321,7,15414,13088
Lost Nation,446,4,947,348
Castana,147,1,197,197
Harlan,5106,12,50745,23262
Nevada,6798,5,17446,9753
Danville,934,1,12,12
La Porte City,2285,3,1719,1237
Sioux City,82684,81,308926,88761
Winfield,1134,1,24,24
Leon,1977,3,508,419
Garner,3129,7,11508,9753
Pella,10352,15,224253,160763
McCallsburg,333,1,26,26
Muscatine,22886,22,38110,15217
Boone,12661,11,41540,37881
Guthrie Center,1569,5,2616,1867
Ankeny,45582,8,34573,17186
Fort Dodge,25206,39,31506,7082
Villisca,1252,4,35506,35206
Gladbrook,945,1,343,343
West Union,2486,4,171,64
Waukon,3897,10,12654,11883
Waterloo,68406,52,268279,68922
Sanborn,1404,4,270,153
Glidden,1146,3,570,353
Clinton,26885,51,129293,67215
West Branch,2322,4,273271,272377
Anamosa,5533,9,24758,13500
Mitchell,138,3,246,153
Conrad,1108,2,1333,1305
Montrose,898,7,9714,9308
Maquoketa,6141,15,159876,136862
Van Meter,1016,4,10503,8445
Oskaloosa,11463,29,41100,16418
Orange City,6004,9,16672,8320
Defiance,284,2,76,76
Hampton,4461,7,17332,11504
Sac City,2220,7,116449,115879
Iowa Falls,5238,11,30413,16541
Sioux Center,7048,6,9473,8320
Grinnell,9218,16,85673,58382
Mount Pleasant,8668,17,114966,91215
Williamsburg,3068,5,5979,3824
Marshalltown,27552,45,111302,27066
Algona,5560,12,168906,115879
Sidney,1138,1,66,66
Mason City,28079,18,29340,9389
Fort Madison,11051,18,19599,10853
Burlington,25663,41,319861,263461
Decorah,8127,13,11958,5690
Keokuk,10780,34,70378,15995
Solon,2037,1,715,715
Mount Vernon,4506,5,28756,27813
Tipton,3221,5,680,275
Rutland,126,1,92,92
Le Claire,3765,1,83501,83501
Bettendorf,33217,19,155327,70763
Storm Lake,10600,12,236204,192104
